Course,University,URL
Public Policy (PUBPOL),University of Washington,http://www.washington.edu/students/crscat/pubpol.html
Public Policy and Management (PPM),University of Washington,http://www.washington.edu/students/crscat/ppm.html
Biostatistics (BIOST),University of Washington,http://www.washington.edu/students/crscat/biostat.html
Environmental Health (ENV H),University of Washington,http://www.washington.edu/students/crscat/envh.html
Epidemiology (EPI),University of Washington,http://www.washington.edu/students/crscat/epidem.html
Global Health (G H),University of Washington,http://www.washington.edu/students/crscat/gh.html
Health Informatics and Health Information Management (HIHIM),University of Washington,http://www.washington.edu/students/crscat/hihim.html
Health Services (HSERV),University of Washington,http://www.washington.edu/students/crscat/hlthsvcs.html
Health Services Management (HSMGMT),University of Washington,http://www.washington.edu/students/crscat/hsmgmt.html
Nutritional Science (NUTR) -- See Interdisciplinary Graduate Programs,University of Washington,http://www.washington.edu/students/crscat/nutrit.html
Pathobiology (PABIO),University of Washington,http://www.washington.edu/students/crscat/pathobio.html
Public Health Genetics (PHG),University of Washington,http://www.washington.edu/students/crscat/phg.html
School of Public Health (SPH),University of Washington,http://www.washington.edu/students/crscat/sph.html
Aerospace Studies (A S),University of Washington,http://www.washington.edu/students/crscat/aerosci.html
Military Science (M SCI),University of Washington,http://www.washington.edu/students/crscat/milsci.html
Naval Science (N SCI),University of Washington,http://www.washington.edu/students/crscat/navsci.html
Social Welfare BASW (SOC WF),University of Washington,http://www.washington.edu/students/crscat/socwlbasw.html
Social Welfare (SOC WL),University of Washington,http://www.washington.edu/students/crscat/socwl.html
Social Work (MSW) (SOC W),University of Washington,http://www.washington.edu/students/crscat/socwk.html
Arctic Studies (ARCTIC),University of Washington,http://www.washington.edu/students/crscat/arctic.html
Honors (HONORS),University of Washington,http://www.washington.edu/students/crscat/hnrs.html
