#Rank,University,Town
103,"Malaviya National Institute of Technology, Jaipur",Jaipur
104,Lalit Narayan Mithila University,Darbhanga
105,National Institute of Mental Health and Neuro Sciences,Bangalore
106,Indian Institute of Technology Bhubaneswar,Bhubaneswar
107,Bundelkhand University,Jhansi
108,Jawaharlal Institute of Postgraduate Medical Education and Research,Puducherry
109,Post Graduate Institute of Medical Education and Research,Chandigarh
110,National University of Educational Planning and Administration,New Delhi
111,Veer Bahadur Singh Purvanchal University,Jaunpur
112,Indian Maritime University,Chennai
113,Maulana Abul Kalam Azad University of Technology,Kolkata
114,National Institute of Design,Ahmedabad ...
115,"National Institute of Technology, Silchar",Silchar
116,Bharathiar University,Coimbatore
117,"National Institute of Technology, Durgapur",Durgapur
118,Patna University,Patna
119,Indian Institute of Space Science and Technology,Thiruvananthapuram
120,APJ Abdul Kalam Technological University,Thiruvananthapuram
121,"Indian Institute of Science Education and Research, Pune",Pune
122,Guru Nanak Dev University,Amritsar
123,National Institute of Fashion Technology,New Delhi ...
124,Dhirubhai Ambani Institute of Information and Communication Technology,Gandhinagar
125,University of Kalyani,Kalyani
126,Baba Farid University of Health Sciences,Faridkot
127,Jawaharlal Nehru Centre for Advanced Scientific Research,Bangalore
128,Dayalbagh Educational Institute,Agra
129,Indian Institute of Technology Ropar,Rupnagar
130,"Indian Institute of Science Education and Research, Thiruvananthapuram",Thiruvananthapuram
131,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah ...
132,Jiwaji University,Gwalior
133,"Indian Institute of Science Education and Research, Kolkata",Mohanpur
134,Vidyasagar University,Midnapore
135,Dr. Ram Manohar Lohia Avadh University,Faizabad
136,University of Kashmir,Srinagar
137,"Sardar Vallabhbhai National Institute of Technology, Surat",Surat
138,Alagappa University,Karaikudi
139,Manonmaniam Sundaranar University,Tirunelveli
140,Rajasthan Technical University Kota,Kota
141,Chennai Mathematical Institute,Chennai
142,Indian Agricultural Research Institute,New Delhi
143,Himachal Pradesh University,Shimla
144,"National Institute of Technology, Raipur",Raipur
145,Mohanlal Sukhadia University,Udaipur
146,North Maharashtra University,Jalgaon ...
147,Hemchandracharya North Gujarat University,Patan
148,Kannur University,Kannur
