Course_Name,Link
Bachelor of Science in Computer Science Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57095682&institutionid=142314&course=Bachelor-of-Science-in-Computer-Science-Major
Bachelor of Science in Environmental Sciences Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815556&institutionid=142314&course=Bachelor-of-Science-in-Environmental-Sciences-Major
Bachelor of Science in Food Safety Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815560&institutionid=142314&course=Bachelor-of-Science-in-Food-Safety-Major
Bachelor of Science in Food Science Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815564&institutionid=142314&course=Bachelor-of-Science-in-Food-Science-Major
Bachelor of Science in Geoscience Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57343474&institutionid=142314&course=Bachelor-of-Science-in-Geoscience-Major
Bachelor of Science in Geospatial Science Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815572&institutionid=142314&course=Bachelor-of-Science-in-Geospatial-Science-Major
Bachelor of Science in Health Protection Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815576&institutionid=142314&course=Bachelor-of-Science-in-Health-Protection-Major
Bachelor of Science in Marine Biology Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815578&institutionid=142314&course=Bachelor-of-Science-in-Marine-Biology-Major
Bachelor of Science in Microbiology Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815582&institutionid=142314&course=Bachelor-of-Science-in-Microbiology-Major
Bachelor of Sport and Recreation in Coaching Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2154814&institutionid=142314&course=Bachelor-of-Sport-and-Recreation-in-Coaching-Major
Bachelor of Sport and Recreation in Exercise Science and Nutrition Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815596&institutionid=142314&course=Bachelor-of-Sport-and-Recreation-in-Exercise-Science-and-Nutrition-Major
Bachelor of Sport and Recreation in Health and Physical Education Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815600&institutionid=142314&course=Bachelor-of-Sport-and-Recreation-in-Health-and-Physical-Education-Major
Bachelor of Sport and Recreation in Management Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815604&institutionid=142314&course=Bachelor-of-Sport-and-Recreation-in-Management-Major
Bachelor of Sport and Recreation in Outdoor Education Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815606&institutionid=142314&course=Bachelor-of-Sport-and-Recreation-in-Outdoor-Education-Major
Bachelor of Sport and Recreation in Sport and Exercise Science Major,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56815614&institutionid=142314&course=Bachelor-of-Sport-and-Recreation-in-Sport-and-Exercise-Science-Major
Bachelor of Visual Arts,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2138490&institutionid=142314&course=Bachelor-of-Visual-Arts
Cambridge Certificate in English Language Teaching to Adults (CELTA),https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57261764&institutionid=142314&course=Cambridge-Certificate-in-English-Language-Teaching-to-Adults-(CELTA)
Cambridge Distance Diploma in English Language Teaching to Adults (Distance DELTA),https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57344196&institutionid=142314&course=Cambridge-Distance-Diploma-in-English-Language-Teaching-to-Adults-(Distance-DELTA)
Cambridge ESOL Examination Course (CAE),https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57083754&institutionid=142314&course=Cambridge-ESOL-Examination-Course-(CAE)
Cambridge ESOL Examination Course (FCE),https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57083760&institutionid=142314&course=Cambridge-ESOL-Examination-Course-(FCE)
Certificate in Applied Science,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56176382&institutionid=142314&course=Certificate-in-Applied-Science
Certificate in Business (Level 4),https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57060170&institutionid=142314&course=Certificate-in-Business-(Level-4)
Certificate in Communication Studies,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2141255&institutionid=142314&course=Certificate-in-Communication-Studies
Certificate in English for Academic Study,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56795318&institutionid=142314&course=Certificate-in-English-for-Academic-Study
Certificate in English Language,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56795316&institutionid=142314&course=Certificate-in-English-Language
Certificate in Hospitality and Tourism,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153226&institutionid=142314&course=Certificate-in-Hospitality-and-Tourism
Certificate in Practical Patisserie,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=55413806&institutionid=142314&course=Certificate-in-Practical-Patisserie
Certificate in Science and Technology,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=53025574&institutionid=142314&course=Certificate-in-Science-and-Technology
Certificate in Social Sciences,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2154204&institutionid=142314&course=Certificate-in-Social-Sciences
Certificate in Sport and Recreation,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2154758&institutionid=142314&course=Certificate-in-Sport-and-Recreation
Certificate in [Specialty] Education,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56599218&institutionid=142314&course=Certificate-in-[Specialty]-Education
Diploma in Applied Science,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=53057746&institutionid=142314&course=Diploma-in-Applied-Science
Diploma in Chinese,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2154337&institutionid=142314&course=Diploma-in-Chinese
Diploma in Culinary Arts,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2153177&institutionid=142314&course=Diploma-in-Culinary-Arts
Diploma in English Language,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56795320&institutionid=142314&course=Diploma-in-English-Language
Diploma in Japanese,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2154342&institutionid=142314&course=Diploma-in-Japanese
Diploma in Patisserie,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=55413836&institutionid=142314&course=Diploma-in-Patisserie
Doctor of Health Science,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2152892&institutionid=142314&course=Doctor-of-Health-Science
General English,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57083772&institutionid=142314&course=General-English
GIE/Academic Pathway Course,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57083764&institutionid=142314&course=GIE/Academic-Pathway-Course
Graduate Diploma in Advertising Creativity,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2140565&institutionid=142314&course=Graduate-Diploma-in-Advertising-Creativity
Graduate Diploma in Arts,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=53029304&institutionid=142314&course=Graduate-Diploma-in-Arts
Graduate Diploma in Computer and Information Sciences,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2145269&institutionid=142314&course=Graduate-Diploma-in-Computer-and-Information-Sciences
Graduate Diploma in Health Science,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2150916&institutionid=142314&course=Graduate-Diploma-in-Health-Science
Graduate Diploma in International Hospitality Management,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=53057670&institutionid=142314&course=Graduate-Diploma-in-International-Hospitality-Management
Graduate Diploma in International Tourism Management,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=54125720&institutionid=142314&course=Graduate-Diploma-in-International-Tourism-Management
Graduate Diploma in Mathematical Sciences,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2145231&institutionid=142314&course=Graduate-Diploma-in-Mathematical-Sciences
Graduate Diploma in Science,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2139856&institutionid=142314&course=Graduate-Diploma-in-Science
Graduate Diploma in Secondary Teaching,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2149154&institutionid=142314&course=Graduate-Diploma-in-Secondary-Teaching
Graduate Diploma in Sport and Exercise,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=2154877&institutionid=142314&course=Graduate-Diploma-in-Sport-and-Exercise
IELTS Course,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=57083780&institutionid=142314&course=IELTS-Course
Master of Analytics,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=56156102&institutionid=142314&course=Master-of-Analytics
Master of Applied Finance,https://www.studyinnewzealand.govt.nz/study-options/course/details?courseid=55343132&institutionid=142314&course=Master-of-Applied-Finance
